train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/fps,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,time/total_timesteps,time/episodes
-8.963155746459961,1773,-157.33770925,42,0.001,468.5,44,0.30349665880203247,1874,4
-12.049972534179688,2074,-138.0376105,43,0.001,271.875,50,29.636621475219727,2175,8
-15.570504188537598,2362,-130.80606608333332,43,0.001,205.25,56,12.969700813293457,2463,12
-18.53233528137207,2576,-127.33673293749999,44,0.001,167.3125,60,12.864230155944824,2677,16
-21.491548538208008,2874,-124.77436980000002,44,0.001,148.75,66,13.07196044921875,2975,20
-31.995197296142578,3745,-124.22257387500001,45,0.001,160.25,84,23.110532760620117,3846,24
-32.04811096191406,3916,-122.46527742857143,45,0.001,143.46428571428572,87,5.149624347686768,4017,28
-33.98783874511719,4211,-121.86939384375,46,0.001,134.75,93,2.917621612548828,4312,32
-37.25535583496094,4999,-122.7863285277778,46,0.001,141.66666666666666,109,5.858268737792969,5100,36
-33.33515167236328,5239,-121.7544185,46,0.001,133.5,114,5.94773530960083,5340,40
-36.611045837402344,5793,-120.8282543409091,46,0.001,133.95454545454547,125,4.603934288024902,5894,44
-36.96483612060547,5989,-119.40060445833335,46,0.001,126.875,129,15.83678150177002,6090,48
-40.71214294433594,6165,-118.17931294230772,47,0.001,120.5,133,16.17584228515625,6266,52
-41.42790222167969,6339,-117.16263139285715,47,0.001,115.0,136,6.856833457946777,6440,56
-45.25395584106445,6511,-116.2632058,47,0.001,110.2,140,5.380608558654785,6612,60
-46.2955207824707,6686,-115.479016390625,47,0.001,106.046875,143,19.02141761779785,6787,64
-44.66421890258789,6861,-114.73844747058824,47,0.001,102.38235294117646,147,5.498715400695801,6962,68
-50.14054870605469,7031,-114.10771944444446,47,0.001,99.05555555555556,150,5.702305793762207,7132,72
-48.304054260253906,7251,-113.47635317105264,47,0.001,96.73684210526316,155,4.043156623840332,7352,76
-46.95281982421875,7492,-112.92244341249997,47,0.001,94.9125,160,5.94094705581665,7593,80
-47.739227294921875,7889,-113.01562292857142,47,0.001,95.11904761904762,168,6.41556453704834,7990,84
-44.286224365234375,8222,-113.07098361363636,46,0.001,94.57954545454545,178,27.26634979248047,8323,88
-47.146636962890625,8638,-113.2010691195652,45,0.001,94.98913043478261,190,7.228107452392578,8739,92
-49.329463958740234,9062,-113.20003010416667,46,0.001,95.44791666666667,199,5.348165512084961,9163,96
-54.8055419921875,11314,-115.16122107000001,46,0.001,114.15,244,4.501800537109375,11415,100
-57.948158264160156,11637,-113.71794425999998,46,0.001,98.64,251,3.447256565093994,11738,104
-59.92559814453125,11947,-113.59665501999999,46,0.001,98.73,259,5.7804365158081055,12048,108
-61.23439407348633,12328,-113.69856146999997,46,0.001,99.66,266,4.527360916137695,12429,112
-62.20772933959961,12774,-113.53631046999998,46,0.001,101.98,275,6.946840286254883,12875,116
-69.88653564453125,13388,-113.66592257000002,46,0.001,105.14,288,21.96302032470703,13489,120
-70.35552215576172,13631,-113.23367249,46,0.001,98.86,292,6.9939775466918945,13732,124
-68.29895782470703,13866,-113.14372393999999,46,0.001,99.5,297,8.389156341552734,13967,128
-63.83556365966797,14061,-113.19780095000002,46,0.001,98.5,301,6.504570960998535,14162,132
-68.95198822021484,14239,-112.68103534000002,46,0.001,92.4,305,6.442978382110596,14340,136
-72.67147064208984,15239,-113.6504594,47,0.001,100.0,325,10.08470344543457,15340,140
-81.58692932128906,16043,-114.45722751,47,0.001,102.5,341,30.68507194519043,16144,144
-95.48236846923828,18477,-115.92439626999997,47,0.001,124.88,389,12.813982963562012,18578,148
-106.7459487915039,18763,-116.02039739999996,47,0.001,125.98,395,96.04283905029297,18864,152
-103.06954193115234,19084,-116.02849642,47,0.001,127.45,401,16.784868240356445,19185,156
-125.68635559082031,22437,-116.97252715,48,0.001,159.26,468,17.243131637573242,22538,160
-120.5614242553711,22751,-117.54543007999999,48,0.001,160.65,474,20.19908905029297,22852,164
-113.65274047851562,23006,-117.62733969999998,48,0.001,161.45,479,23.46541976928711,23107,168
-128.35543823242188,23293,-117.70135848000001,48,0.001,162.62,485,18.069599151611328,23394,172
-132.41246032714844,23673,-118.16821693,48,0.001,164.22,493,20.462303161621094,23774,176
-144.98562622070312,25481,-118.78399766000001,48,0.001,179.89,529,29.453903198242188,25582,180
-144.4314727783203,27294,-119.13841053,48,0.001,194.05,565,22.181385040283203,27395,184
-158.5579376220703,27594,-119.50823557000001,48,0.001,193.72,571,29.969886779785156,27695,188
-179.33123779296875,32456,-120.31170975,47,0.001,238.18,686,50.040340423583984,32557,192
-187.75296020507812,35978,-120.79337661000001,47,0.001,269.16,759,32.25321578979492,36079,196
-198.90753173828125,36715,-119.11837865999998,47,0.001,254.01,774,23.318004608154297,36816,200
-197.94204711914062,38723,-118.89675746,47,0.001,270.86,814,31.068288803100586,38824,204
-202.446044921875,42180,-118.18624643999999,46,0.001,302.33,907,16.417821884155273,42281,208
-218.745361328125,43022,-118.31803160999998,46,0.001,306.94,927,29.720401763916016,43123,212
-203.7550811767578,43356,-118.35662238,46,0.001,305.82,939,30.84527587890625,43457,216
-202.33973693847656,43634,-118.03423624000001,46,0.001,302.46,946,29.41153335571289,43735,220
-212.3204803466797,44390,-118.28840692000001,46,0.001,307.59,962,35.60675048828125,44491,224
-215.9179229736328,46228,-119.49634001999999,46,0.001,323.62,999,19.3687801361084,46329,228
-217.52310180664062,47751,-120.41772295000001,46,0.001,336.9,1030,20.85585594177246,47852,232
-217.66363525390625,48274,-120.92445871,46,0.001,340.35,1048,18.161128997802734,48375,236
-217.38311767578125,50976,-121.82854215000002,46,0.001,357.37,1107,25.70212173461914,51077,240
-214.60870361328125,53287,-122.57871099999998,46,0.001,372.44,1154,25.122522354125977,53388,244
-214.4695587158203,54304,-122.52187628,46,0.001,358.27,1176,23.251953125,54405,248
-212.51657104492188,55571,-123.49628241999999,46,0.001,368.08,1202,26.622228622436523,55672,252
-210.14842224121094,56307,-123.92333421,46,0.001,372.23,1217,33.25749206542969,56408,256
-205.80860900878906,57657,-124.08677155000001,46,0.001,352.2,1246,23.261810302734375,57758,260
-201.41151428222656,59896,-124.08386569,46,0.001,371.45,1293,18.527210235595703,59997,264
